tablet_num	subject	relation_type	object	subject_tag	object_tag
P100001	sza3-gu4	dumu	x-x	PN	PN
P100002	szesz-kal-la	dumu	a-ri2-bi-ta	PN	PN
P100005	lu2-saga	dumu	ur-{d}nin-mug-ga	PN	PN
P100006	us2-sa-a-bi	dumu	...	V	PN
P100008	i7-pa-e3	dumu	lugal-uszur3	PN	PN
P100009	dub-sar	dumu	...	N	PN
P100010	dub-sar	dumu	...	N	PN
P100011	dub-sar	dumu	lugal-uszur3	N	PN
P100012	dub-sar	dumu	da-da	N	PN
P100013	dub-sar	dumu	...	N	PN
P100014	dub-sar	dumu	ur-e11-e	N	PN
P100015	dub-sar	dumu	ur-e11-e	N	PN
P100041	dub-sar	dumu	...	N	PN
P100042	dub-sar	dumu	ur-nigar{gar}	N	PN
P100043	dub-sar	dumu	nigar{gar}-ki-du10	N	PN
P100057	lugal-nig2-lagar-e	dumu	lugal-e2-mah-e-ke4	PN	PN
P100063	dub-sar	dumu	ur-nigar{gar}	N	PN
P100065	dub-sar	dumu	ur-nigar{gar}	N	PN
P100066	lu2-eb-gal	dumu	lugal-szuba3-sze3	PN	PN
P100068	gur	nin	1(asz)	N	NU
P100070	ur-{d}utu	dumu	bar-ra-an	PN	PN
P100072	mu	dumu	lugal	N	N
P100080	dub-sar	dumu	a2-an-du-ru	N	PN
P100081	lu2-{d}szara2	dumu	al-la	PN	V
P100090	dub-sar	dumu	lu2-ku3-ga-ni	N	PN
P100093	dub-sar	dumu	inim-ma	N	N
P100098	dub-sar	dumu	lu2-gi-na	N	PN
P100100	saga	dam	ensi2-ka	V	N
P100101	dub-sar	dumu	x-...	N	PN
P100102	dub-sar	dumu	ur-...	N	PN
P100112	dub-sar	dumu	lugal-e2-mah-e	N	PN
P100113	dub-sar	dumu	lugal-e2-mah-e	N	PN
P100114	dub-sar	dumu	...	N	PN
P100115	nigar{gar}-ki-du10	dumu	lu2-sa6-ga	PN	PN
P100129	dub-sar	dumu	ur-nigar{gar}	N	PN
P100137	lugal-nig2-lagar-e	dumu	ur-e2-nun	PN	PN
P100138	ba-du3	dumu	...	V	PN
P100143	3(disz)	dumu	nin-x-...	NU	PN
P100143	geme2-{d}li9-si4	dumu	geme2-x-...	PN	PN
P100143	geme2-{d}szara2	dumu	lu2-...	PN	PN
P100146	lugal-nesag-e	dumu	nu-banda3	PN	N
P100149	szu-{d}en-lil2	dumu	nu-banda3	PN	N
P100149	da-da-ni	dumu	nu-banda3	PN	N
P100156	dub-sar	dumu	x-{d}x	N	PN
P100159	ur-{d}ba-ba6	dumu	x-...	PN	PN
P100161	dub-sar	dumu	da-da	N	PN
P100162	dub-sar	dumu	na-mu	N	PN
P100163	dub-sar	dumu	ur-{d}ba-ba6	N	PN
P100163	gudu4	dumu	ur-nigar{gar}	N	PN
